,University,Details,Location,Rank,Tuition & Fee($),Undergraduate enrollment (fall 2022)
49,University of Rochester,https://www.usnews.com/best-colleges/university-of-rochester-2894,"Rochester, NY",47,64384,6767.0
50,Virginia Tech,https://www.usnews.com/best-colleges/virginia-tech-3754,"Blacksburg, VA",47,36090,30434.0
51,Wake Forest University,https://www.usnews.com/best-colleges/wake-forest-2978,"Winston-Salem, NC",47,64758,5447.0
52,Case Western Reserve University,https://www.usnews.com/best-colleges/case-western-reserve-university-3024,"Cleveland, OH",53,62234,6017.0
53,Florida State University,https://www.usnews.com/best-colleges/florida-state-university-1489,"Tallahassee, FL",53,21683,32936.0
54,Northeastern University,https://www.usnews.com/best-colleges/northeastern-university-2199,"Boston, MA",53,63141,16302.0
55,"University of Minnesota, Twin Cities",https://www.usnews.com/best-colleges/university-of-minnesota-twin-cities-3969,"Minneapolis, MN",53,36402,39248.0
56,William & Mary,https://www.usnews.com/best-colleges/william-and-mary-3705,"Williamsburg, VA",53,48841,6797.0
57,Stony Brook University--SUNY,https://www.usnews.com/best-colleges/stony-brook-suny-2838,"Stony Brook, NY",58,30350,17509.0
58,University of Connecticut,https://www.usnews.com/best-colleges/uconn-29013,"Storrs, CT",58,43034,18983.0
59,Brandeis University,https://www.usnews.com/best-colleges/brandeis-university-2133,"Waltham, MA",60,62722,3687.0
60,Michigan State University,https://www.usnews.com/best-colleges/michigan-state-2290,"East Lansing, MI",60,41958,39201.0
61,North Carolina State University,https://www.usnews.com/best-colleges/north-carolina-state-raleigh-2972,"Raleigh, NC",60,31976,26254.0
62,The Pennsylvania State University--University Park,https://www.usnews.com/best-colleges/penn-state-6965,"University Park, PA",60,38651,41745.0
63,Rensselaer Polytechnic Institute,https://www.usnews.com/best-colleges/rpi-2803,"Troy, NY",60,61884,5895.0
64,Santa Clara University,https://www.usnews.com/best-colleges/santa-clara-university-1326,"Santa Clara, CA",60,59241,6115.0
65,"University of California, Merced",https://www.usnews.com/best-colleges/university-of-california-merced-4127,"Merced, CA",60,43777,8344.0
66,George Washington University,https://www.usnews.com/best-colleges/george-washington-university-1444,"Washington, DC",67,64990,11482.0
67,Syracuse University,https://www.usnews.com/best-colleges/syracuse-university-2882,"Syracuse, NY",67,63061,15421.0
68,University of Massachusetts--Amherst,https://www.usnews.com/best-colleges/umass-amherst-2221,"Amherst, MA",67,39293,24391.0
69,University of Miami,https://www.usnews.com/best-colleges/university-of-miami-1536,"Coral Gables, FL",67,59926,12504.0
70,University of Pittsburgh,https://www.usnews.com/best-colleges/university-of-pittsburgh-3379,"Pittsburgh, PA",67,39890,19928.0
71,Villanova University,https://www.usnews.com/best-colleges/villanova-3388,"Villanova, PA",67,64906,6989.0
72,Binghamton University--SUNY,https://www.usnews.com/best-colleges/suny-binghamton-2836,"Binghamton, NY",73,28203,14402.0
73,Indiana University--Bloomington,https://www.usnews.com/best-colleges/indiana-university-bloomington-1809,"Bloomington, IN",73,40482,35660.0
74,Tulane University,https://www.usnews.com/best-colleges/tulane-university-2029,"New Orleans, LA",73,65538,7350.0
75,Colorado School of Mines,https://www.usnews.com/best-colleges/colorado-school-of-mines-1348,"Golden, CO",76,42120,5733.0
76,Pepperdine University,https://www.usnews.com/best-colleges/pepperdine-university-1264,"Malibu, CA",76,66742,3662.0
77,Stevens Institute of Technology,https://www.usnews.com/best-colleges/stevens-institute-of-technology-2639,"Hoboken, NJ",76,60952,3988.0
78,University at Buffalo--SUNY,https://www.usnews.com/best-colleges/ub-9554,"Buffalo, NY",76,30571,20761.0
79,"University of California, Riverside",https://www.usnews.com/best-colleges/university-of-california-riverside-1316,"Riverside, CA",76,46266,22903.0
80,University of Delaware,https://www.usnews.com/best-colleges/university-of-delaware-1431,"Newark, DE",76,39720,18883.0
81,Rutgers University--Newark,https://www.usnews.com/best-colleges/rutgers-newark-2631,"Newark, NJ",82,35348,7511.0
82,"University of California, Santa Cruz",https://www.usnews.com/best-colleges/university-of-california-santa-cruz-1321,"Santa Cruz, CA",82,47862,17502.0
83,University of Illinois--Chicago,https://www.usnews.com/best-colleges/university-of-illinois-chicago-1776,"Chicago, IL",82,32833,21807.0
84,Worcester Polytechnic Institute,https://www.usnews.com/best-colleges/wpi-2233,"Worcester, MA",82,58870,5246.0
85,Clemson University,https://www.usnews.com/best-colleges/clemson-university-3425,"Clemson, SC",86,39502,22566.0
86,Marquette University,https://www.usnews.com/best-colleges/marquette-university-3863,"Milwaukee, WI",86,48700,7528.0
87,New Jersey Institute of Technology,https://www.usnews.com/best-colleges/njit-2621,"Newark, NJ",86,34972,9019.0
88,Fordham University,https://www.usnews.com/best-colleges/fordham-university-2722,"New York, NY",89,61567,10098.0
89,Southern Methodist University,https://www.usnews.com/best-colleges/smu-3613,"Dallas, TX",89,64460,7056.0
90,Temple University,https://www.usnews.com/best-colleges/temple-university-3371,"Philadelphia, PA",89,35956,24106.0
91,University of South Florida,https://www.usnews.com/best-colleges/university-of-south-florida-1537,"Tampa, FL",89,17324,38046.0
92,Auburn University,https://www.usnews.com/best-colleges/auburn-university-1009,"Auburn, AL",93,33944,25379.0
93,Baylor University,https://www.usnews.com/best-colleges/baylor-university-6967,"Waco, TX",93,54844,15213.0
94,Gonzaga University,https://www.usnews.com/best-colleges/gonzaga-university-3778,"Spokane, WA",93,53500,5084.0
95,Loyola Marymount University,https://www.usnews.com/best-colleges/loyola-marymount-university-11649,"Los Angeles, CA",93,58489,7299.0
96,University of Iowa,https://www.usnews.com/best-colleges/university-of-iowa-1892,"Iowa City, IA",93,32927,21973.0
97,Drexel University,https://www.usnews.com/best-colleges/drexel-university-3256,"Philadelphia, PA",98,60663,12482.0
98,Illinois Institute of Technology,https://www.usnews.com/best-colleges/illinois-institute-of-technology-1691,"Chicago, IL",98,51763,3125.0
99,Rochester Institute of Technology,https://www.usnews.com/best-colleges/rit-2806,"Rochester, NY",98,57016,13940.0
100,Rutgers University--Camden,https://www.usnews.com/best-colleges/rutgers-university-camden-4741,"Camden, NJ",98,35841,4185.0
101,Texas Christian University,https://www.usnews.com/best-colleges/tcu-3636,"Fort Worth, TX",98,57220,10523.0
102,University of Oregon,https://www.usnews.com/best-colleges/university-of-oregon-3223,"Eugene, OR",98,41194,19565.0
103,University of San Diego,https://www.usnews.com/best-colleges/university-of-san-diego-10395,"San Diego, CA",98,56444,5669.0
104,American University,https://www.usnews.com/best-colleges/american-university-1434,"Washington, DC",105,56544,7917.0
105,Arizona State University,https://www.usnews.com/best-colleges/arizona-state-university-1081,"Tempe, AZ",105,32193,65492.0
106,California State University--Long Beach,https://www.usnews.com/best-colleges/california-state-university-long-beach-1139,"Long Beach, CA",105,17200,32711.0
107,CUNY--City College,https://www.usnews.com/best-colleges/cuny-city-college-2688,"New York, NY",105,19010,11929.0
108,George Mason University,https://www.usnews.com/best-colleges/gmu-3749,"Fairfax, VA",105,37976,27014.0
109,Saint Louis University,https://www.usnews.com/best-colleges/saint-louis-university-2506,"St. Louis, MO",105,53244,7426.0
110,San Diego State University,https://www.usnews.com/best-colleges/san-diego-state-university-1151,"San Diego, CA",105,20170,31724.0
111,University of Colorado Boulder,https://www.usnews.com/best-colleges/university-of-colorado-boulder-1370,"Boulder, CO",105,41966,31103.0
112,"University of Tennessee, Knoxville",https://www.usnews.com/best-colleges/university-of-tennessee-3530,"Knoxville, TN",105,31434,27039.0
113,Yeshiva University,https://www.usnews.com/best-colleges/yeshiva-university-2903,"New York, NY",105,49900,2207.0
114,Brigham Young University,https://www.usnews.com/best-colleges/byu-3670,"Provo, UT",115,6496,31401.0
115,Howard University,https://www.usnews.com/best-colleges/howard-university-1448,"Washington, DC",115,33344,9809.0
116,Iowa State University of Science and Technology,https://www.usnews.com/best-colleges/iowa-state-university-1869,"Ames, IA",115,26617,25241.0
117,SUNY College of Environmental Science and Forestry,https://www.usnews.com/best-colleges/suny-environmental-science-and-forestry-2851,"Syracuse, NY",115,21036,1621.0
118,University of Arizona,https://www.usnews.com/best-colleges/university-of-arizona-1083,"Tucson, AZ",115,37355,40407.0
119,University of New Hampshire,https://www.usnews.com/best-colleges/university-of-new-hampshire-2589,"Durham, NH",115,38882,11480.0
120,University of San Francisco,https://www.usnews.com/best-colleges/university-of-san-francisco-1325,"San Francisco, CA",115,58222,6018.0
121,The University of Texas at Dallas,https://www.usnews.com/best-colleges/the-university-of-texas-at-dallas-9741,"Richardson, TX",115,44812,21617.0
122,University of Utah,https://www.usnews.com/best-colleges/university-of-utah-3675,"Salt Lake City, UT",115,33045,26355.0
123,Creighton University,https://www.usnews.com/best-colleges/creighton-university-2542,"Omaha, NE",124,47000,4290.0
124,Fairfield University,https://www.usnews.com/best-colleges/fairfield-university-1385,"Fairfield, CT",124,56360,4757.0
125,Florida International University,https://www.usnews.com/best-colleges/fiu-9635,"Miami, FL",124,18964,45442.0
126,James Madison University,https://www.usnews.com/best-colleges/james-madison-university-3721,"Harrisonburg, VA",124,30790,20346.0
127,University of Central Florida,https://www.usnews.com/best-colleges/ucf-3954,"Orlando, FL",124,22467,58749.0
128,University of Denver,https://www.usnews.com/best-colleges/university-of-denver-1371,"Denver, CO",124,59340,6160.0
129,University of Missouri,https://www.usnews.com/best-colleges/university-of-missouri-2516,"Columbia, MO",124,34322,23752.0
130,University of Oklahoma,https://www.usnews.com/best-colleges/university-of-oklahoma-3184,"Norman, OK",124,25880,21294.0
131,University of South Carolina,https://www.usnews.com/best-colleges/university-of-south-carolina-3448,"Columbia, SC",124,33928,27343.0
132,California State University--Fullerton,https://www.usnews.com/best-colleges/california-state-university-fullerton-1137,"Fullerton, CA",133,18954,35239.0
133,Chapman University,https://www.usnews.com/best-colleges/chapman-university-1164,"Orange, CA",133,62784,7869.0
134,Elon University,https://www.usnews.com/best-colleges/elon-university-2927,"Elon, NC",133,44536,6337.0
135,Miami University--Oxford,https://www.usnews.com/best-colleges/miami-university-7104,"Oxford, OH",133,38127,16865.0
136,University at Albany--SUNY,https://www.usnews.com/best-colleges/suny-albany-2835,"Albany, NY",133,28998,12264.0
137,University of Dayton,https://www.usnews.com/best-colleges/university-of-dayton-3127,"Dayton, OH",133,47600,8416.0
138,University of Houston,https://www.usnews.com/best-colleges/university-of-houston-3652,"Houston, TX",133,27110,37943.0
139,"University of Maryland, Baltimore County",https://www.usnews.com/best-colleges/umbc-2105,"Baltimore, MD",133,30308,10625.0
140,University of Vermont,https://www.usnews.com/best-colleges/university-of-vermont-3696,"Burlington, VT",133,43890,11898.0
141,Clarkson University,https://www.usnews.com/best-colleges/clarkson-university-2699,"Potsdam, NY",142,57950,2668.0
142,Clark University,https://www.usnews.com/best-colleges/clark-university-massachusetts-2139,"Worcester, MA",142,55187,2389.0
143,Loyola University Chicago,https://www.usnews.com/best-colleges/loyola-university-chicago-1710,"Chicago, IL",142,51706,11703.0
144,Oregon State University,https://www.usnews.com/best-colleges/oregon-state-3210,"Corvallis, OR",142,35664,28905.0
145,Thomas Jefferson University,https://www.usnews.com/best-colleges/thomas-jefferson-university-12393,"Philadelphia, PA",142,45733,3771.0
146,University of Alabama at Birmingham,https://www.usnews.com/best-colleges/university-of-alabama-at-birmingham-1052,"Birmingham, AL",142,26520,13032.0
147,University of Cincinnati,https://www.usnews.com/best-colleges/university-of-cincinnati-3125,"Cincinnati, OH",142,27140,29989.0
148,University of the Pacific,https://www.usnews.com/best-colleges/university-of-the-pacific-1329,"Stockton, CA",142,55340,3294.0
149,Virginia Commonwealth University,https://www.usnews.com/best-colleges/vcu-3735,"Richmond, VA",142,38247,20958.0
150,Colorado State University,https://www.usnews.com/best-colleges/colorado-state-university-1350,"Fort Collins, CO",151,33752,26062.0
151,DePaul University,https://www.usnews.com/best-colleges/depaul-university-1671,"Chicago, IL",151,44460,14134.0
152,Duquesne University,https://www.usnews.com/best-colleges/duquesne-university-3258,"Pittsburgh, PA",151,47146,5095.0
153,Michigan Technological University,https://www.usnews.com/best-colleges/michigan-tech-2292,"Houghton, MI",151,41340,5710.0
154,Seton Hall University,https://www.usnews.com/best-colleges/seton-hall-university-new-jersey-2632,"South Orange, NJ",151,51370,6012.0
155,Simmons University,https://www.usnews.com/best-colleges/simmons-university-2208,"Boston, MA",151,45538,1789.0
156,University of Kansas,https://www.usnews.com/best-colleges/university-of-kansas-1948,"Lawrence, KS",151,28035,19241.0
157,University of Rhode Island,https://www.usnews.com/best-colleges/university-of-rhode-island-3414,"Kingston, RI",151,35804,13927.0
158,Stockton University,https://www.usnews.com/best-colleges/stockton-university-9345,"Galloway, NJ",159,23420,8138.0
159,University of Kentucky,https://www.usnews.com/best-colleges/university-of-kentucky-1989,"Lexington, KY",159,33406,22735.0
160,University of Massachusetts--Lowell,https://www.usnews.com/best-colleges/umass-lowell-2161,"Lowell, MA",159,35396,12391.0
161,University of Nebraska -- Lincoln,https://www.usnews.com/best-colleges/university-of-nebraska-2565,"Lincoln, NE",159,27748,19189.0
162,Adelphi University,https://www.usnews.com/best-colleges/adelphi-university-2666,"Garden City, NY",163,47290,5055.0
163,Montclair State University,https://www.usnews.com/best-colleges/montclair-state-university-2617,"Montclair, NJ",163,22470,17290.0
164,Rowan University,https://www.usnews.com/best-colleges/rowan-university-2609,"Glassboro, NJ",163,25564,15264.0
165,Seattle University,https://www.usnews.com/best-colleges/seattle-university-3790,"Seattle, WA",163,54285,4099.0
166,St. John's University (NY),https://www.usnews.com/best-colleges/st-johns-university-new-york-2823,"Queens, NY",163,50110,15652.0
167,University of Mississippi,https://www.usnews.com/best-colleges/university-of-mississippi-2440,"University, MS",163,26980,17302.0
168,University of St. Thomas (MN),https://www.usnews.com/best-colleges/university-of-st-thomas-minnesota-2345,"St. Paul, MN",163,52284,5942.0
169,California State University--San Bernardino,https://www.usnews.com/best-colleges/california-state-university-san-bernardino-1142,"San Bernardino, CA",170,14311,16813.0
170,Florida A&M University,https://www.usnews.com/best-colleges/florida-am-university-1480,"Tallahassee, FL",170,17725,7709.0
171,Kansas State University,https://www.usnews.com/best-colleges/kansas-state-university-1928,"Manhattan, KS",170,27816,15046.0
172,Mercer University,https://www.usnews.com/best-colleges/mercer-university-1580,"Macon, GA",170,40890,4859.0
173,Quinnipiac University,https://www.usnews.com/best-colleges/quinnipiac-university-1402,"Hamden, CT",170,53090,6073.0
174,The University of Alabama,https://www.usnews.com/best-colleges/university-of-alabama-1051,"Tuscaloosa, AL",170,33200,32458.0
175,University of Hawaii at Manoa,https://www.usnews.com/best-colleges/university-of-hawaii-manoa-1610,"Honolulu, HI",170,34218,14198.0
176,University of La Verne,https://www.usnews.com/best-colleges/university-of-la-verne-1216,"La Verne, CA",170,48300,2414.0
177,The Catholic University of America,https://www.usnews.com/best-colleges/the-catholic-university-of-america-1437,"Washington, DC",178,55834,3011.0
178,Drake University,https://www.usnews.com/best-colleges/drake-university-1860,"Des Moines, IA",178,50114,2835.0
179,Ohio University,https://www.usnews.com/best-colleges/ohio-university-3100,"Athens, OH",178,24114,17860.0
180,San Francisco State University,https://www.usnews.com/best-colleges/san-francisco-state-university-1154,"San Francisco, CA",178,19404,21868.0
181,University of Arkansas,https://www.usnews.com/best-colleges/university-of-arkansas-1108,"Fayetteville, AR",178,28772,26269.0
182,University of North Carolina--Charlotte,https://www.usnews.com/best-colleges/university-of-north-carolina-charlotte-2975,"Charlotte, NC",178,21338,23461.0
183,Washington State University,https://www.usnews.com/best-colleges/washington-state-3800,"Pullman, WA",178,29073,22612.0
184,Bradley University,https://www.usnews.com/best-colleges/bradley-university-1641,"Peoria, IL",185,39680,4143.0
185,"California State University, Fresno",https://www.usnews.com/best-colleges/california-state-university-fresno-1147,"Fresno, CA",185,13112,21305.0
186,Hofstra University,https://www.usnews.com/best-colleges/hofstra-university-2732,"Hempstead, NY",185,55450,6110.0
187,Louisiana State University--Baton Rouge,https://www.usnews.com/best-colleges/louisiana-state-university-baton-rouge-2010,"Baton Rouge, LA",185,28631,30952.0
188,Missouri University of Science and Technology,https://www.usnews.com/best-colleges/missouri-university-of-science-and-technology-2517,"Rolla, MO",185,31862,5501.0
189,Oklahoma State University,https://www.usnews.com/best-colleges/oklahoma-state-3170,"Stillwater, OK",185,24764,20801.0
190,Samford University,https://www.usnews.com/best-colleges/samford-university-1036,"Birmingham, AL",185,38144,3672.0
191,St. John Fisher University,https://www.usnews.com/best-colleges/st-john-fisher-university-2821,"Rochester, NY",185,39666,2629.0
192,University of Detroit Mercy,https://www.usnews.com/best-colleges/university-of-detroit-mercy-2323,"Detroit, MI",185,31058,3156.0
193,University of Idaho,https://www.usnews.com/best-colleges/university-of-idaho-1626,"Moscow, ID",185,28052,8809.0
194,East Carolina University,https://www.usnews.com/best-colleges/east-carolina-university-2923,"Greenville, NC",195,23602,21688.0
195,Russell Sage College,https://www.usnews.com/best-colleges/the-sage-colleges-2810,"Troy, NY",195,36756,1126.0
196,Touro University,https://www.usnews.com/best-colleges/touro-university-10142,"New York, NY",195,21810,4860.0
197,University of Louisville,https://www.usnews.com/best-colleges/university-of-louisville-1999,"Louisville, KY",195,29174,15921.0
198,"University of Nevada, Reno",https://www.usnews.com/best-colleges/university-of-nevada-2568,"Reno, NV",195,25950,16973.0
199,University of Tulsa,https://www.usnews.com/best-colleges/university-of-tulsa-3185,"Tulsa, OK",195,48102,2647.0
200,Indiana University-Purdue University--Indianapolis,https://www.usnews.com/best-colleges/indiana-universitypurdue-university-indianapolis-1813,"Indianapolis, IN",201,33717,17727.0
201,La Salle University,https://www.usnews.com/best-colleges/la-salle-university-3287,"Philadelphia, PA",201,35520,2776.0
202,The New School,https://www.usnews.com/best-colleges/the-new-school-20662,"New York, NY",201,56244,7208.0
203,Robert Morris University,https://www.usnews.com/best-colleges/robert-morris-university-pennsylvania-3359,"Moon Township, PA",201,34740,2782.0
204,University of North Carolina--Wilmington,https://www.usnews.com/best-colleges/university-of-north-carolina-wilmington-2984,"Wilmington, NC",201,22985,14294.0
205,Valparaiso University,https://www.usnews.com/best-colleges/valparaiso-university-1842,"Valparaiso, IN",201,46588,2349.0
206,Wayne State University,https://www.usnews.com/best-colleges/wayne-state-2329,"Detroit, MI",201,31614,16116.0
207,Xavier University,https://www.usnews.com/best-colleges/xavier-university-3144,"Cincinnati, OH",201,48125,4860.0
208,Chatham University,https://www.usnews.com/best-colleges/chatham-university-3244,"Pittsburgh, PA",209,43810,1499.0
209,Florida Atlantic University,https://www.usnews.com/best-colleges/florida-atlantic-university-1481,"Boca Raton, FL",209,21655,24229.0
210,Illinois State University,https://www.usnews.com/best-colleges/illinois-state-university-1692,"Normal, IL",209,27011,18055.0
211,Pacific University,https://www.usnews.com/best-colleges/pacific-university-3212,"Forest Grove, OR",209,54466,1639.0
212,Sacred Heart University,https://www.usnews.com/best-colleges/sacred-heart-university-1403,"Fairfield, CT",209,48460,6782.0
213,University of Massachusetts--Dartmouth,https://www.usnews.com/best-colleges/umass-dartmouth-2210,"North Dartmouth, MA",209,30992,5517.0
214,West Chester University of Pennsylvania,https://www.usnews.com/best-colleges/west-chester-3328,"West Chester, PA",209,22261,14392.0
215,Ball State University,https://www.usnews.com/best-colleges/ball-state-university-1786,"Muncie, IN",216,28766,14416.0
216,The College of St. Scholastica,https://www.usnews.com/best-colleges/the-college-of-st-scholastica-2343,"Duluth, MN",216,40454,1938.0
217,Mississippi State University,https://www.usnews.com/best-colleges/mississippi-state-2423,"Mississippi State, MS",216,26580,18305.0
218,Springfield College,https://www.usnews.com/best-colleges/springfield-college-2211,"Springfield, MA",216,43707,2005.0
219,St. Catherine University,https://www.usnews.com/best-colleges/st-catherine-university-2342,"St. Paul, MN",216,49758,2416.0
220,Texas Tech University,https://www.usnews.com/best-colleges/texas-tech-university-3644,"Lubbock, TX",216,24092,32579.0
