,University,Details,Location,Rank,Tuition & Fee($),Undergraduate enrollment (fall 2022)
275,"University of Nevada, Las Vegas",https://www.usnews.com/best-colleges/unlv-2569,"Las Vegas, NV",269,26099,25365.0
276,University of South Dakota,https://www.usnews.com/best-colleges/university-of-south-dakota-10300,"Vermillion, SD",269,12942,7132.0
277,Utah State University,https://www.usnews.com/best-colleges/utah-state-3677,"Logan, UT",269,24802,24835.0
278,Wilkes University,https://www.usnews.com/best-colleges/wilkes-university-3394,"Wilkes-Barre, PA",269,42286,2000.0
279,Bellarmine University,https://www.usnews.com/best-colleges/bellarmine-university-1954,"Louisville, KY",280,46780,2343.0
280,Bowling Green State University,https://www.usnews.com/best-colleges/bowling-green-state-university-3018,"Bowling Green, OH",280,21424,13853.0
281,Clarke University,https://www.usnews.com/best-colleges/clarke-university-1852,"Dubuque, IA",280,39600,785.0
282,DeSales University,https://www.usnews.com/best-colleges/desales-university-3986,"Center Valley, PA",280,44800,2231.0
283,Hampton University,https://www.usnews.com/best-colleges/hampton-university-3714,"Hampton, VA",280,29312,2794.0
284,Immaculata University,https://www.usnews.com/best-colleges/immaculata-university-3276,"Immaculata, PA",280,28550,1508.0
285,Marian University (IN),https://www.usnews.com/best-colleges/marian-university-1821,"Indianapolis, IN",280,39100,2860.0
286,North Carolina Agricultural and Technical State University,https://www.usnews.com/best-colleges/north-carolina-at-2905,"Greensboro, NC",280,20243,11833.0
287,Oklahoma City University,https://www.usnews.com/best-colleges/oklahoma-city-university-3166,"Oklahoma City, OK",280,33586,1361.0
288,Old Dominion University,https://www.usnews.com/best-colleges/old-dominion-3728,"Norfolk, VA",280,32662,18375.0
289,Portland State University,https://www.usnews.com/best-colleges/portland-state-3216,"Portland, OR",280,24495,16864.0
290,Southern Illinois University--Carbondale,https://www.usnews.com/best-colleges/southern-illinois-university-carbondale-1758,"Carbondale, IL",280,15522,8000.0
291,Texas State University,https://www.usnews.com/best-colleges/texas-state-university-3615,"San Marcos, TX",280,24447,33834.0
292,University of St. Francis,https://www.usnews.com/best-colleges/university-of-st-francis-1664,"Joliet, IL",280,37000,1417.0
293,University of Texas at San Antonio,https://www.usnews.com/best-colleges/university-of-texas-at-san-antonio-10115,"San Antonio, TX",280,26798,29654.0
294,University of Toledo,https://www.usnews.com/best-colleges/university-of-toledo-3131,"Toledo, OH",280,21280,11965.0
295,Alvernia University,https://www.usnews.com/best-colleges/alvernia-university-3233,"Reading, PA",296,42810,2018.0
296,California State University--East Bay,https://www.usnews.com/best-colleges/california-state-university-east-bay-1138,"Hayward, CA",296,18875,
297,New Mexico State University,https://www.usnews.com/best-colleges/new-mexico-state-university-2657,"Las Cruces, NM",296,27385,11591.0
298,Pontifical Catholic University of Puerto Rico--Ponce,https://www.usnews.com/best-colleges/pontifical-catholic-university-of-puerto-rico-ponce-3936,"Ponce, PR",296,5920,
299,Saint Mary's University of Minnesota,https://www.usnews.com/best-colleges/saint-marys-university-minnesota-2380,"Winona, MN",296,43160,1100.0
300,South Dakota State University,https://www.usnews.com/best-colleges/south-dakota-state-3471,"Brookings, SD",296,12809,9921.0
301,Southeastern Baptist Theological Seminary,https://www.usnews.com/best-colleges/southeastern-baptist-theological-seminary-666974,"Wake Forest, NC",296,10234,
302,University of the Incarnate Word,https://www.usnews.com/best-colleges/university-of-the-incarnate-word-3578,"San Antonio, TX",296,35660,4724.0
303,Concordia University Wisconsin,https://www.usnews.com/best-colleges/concordia-university-wisconsin-3842,"Mequon, WI",304,34250,2817.0
304,Ferris State University,https://www.usnews.com/best-colleges/ferris-state-university-2260,"Big Rapids, MI",304,14686,9000.0
305,Florida Gulf Coast University,https://www.usnews.com/best-colleges/fgcu-32553,"Fort Myers, FL",304,25161,14137.0
306,Harding University,https://www.usnews.com/best-colleges/harding-university-10311,"Searcy, AR",304,24888,3523.0
307,Louisiana Tech University,https://www.usnews.com/best-colleges/louisiana-tech-university-2008,"Ruston, LA",304,19608,10083.0
308,Middle Tennessee State University,https://www.usnews.com/best-colleges/middle-tennessee-state-university-3510,"Murfreesboro, TN",304,29584,17438.0
309,Montana State University,https://www.usnews.com/best-colleges/montana-state-2532,"Bozeman, MT",304,27990,14668.0
310,Oakland City University,https://www.usnews.com/best-colleges/oakland-city-university-1824,"Oakland City, IN",304,27150,699.0
311,Radford University,https://www.usnews.com/best-colleges/radford-university-3732,"Radford, VA",304,24738,6008.0
312,Shenandoah University,https://www.usnews.com/best-colleges/shenandoah-university-3737,"Winchester, VA",304,36028,2461.0
313,University of Hartford,https://www.usnews.com/best-colleges/university-of-hartford-1422,"West Hartford, CT",304,47648,3969.0
314,University of Houston--Clear Lake,https://www.usnews.com/best-colleges/university-of-houston-clear-lake-11711,"Houston, TX",304,26081,6254.0
315,University of Indianapolis,https://www.usnews.com/best-colleges/university-of-indianapolis-1804,"Indianapolis, IN",304,36136,3613.0
316,University of Nebraska Omaha,https://www.usnews.com/best-colleges/university-of-nebraska-omaha-2554,"Omaha, NE",304,21718,12026.0
317,The University of Texas at El Paso,https://www.usnews.com/best-colleges/the-university-of-texas-at-el-paso-3661,"El Paso, TX",304,24952,20165.0
318,Western Michigan University,https://www.usnews.com/best-colleges/western-michigan-university-2330,"Kalamazoo, MI",304,18218,14397.0
319,Abilene Christian University,https://www.usnews.com/best-colleges/abilene-christian-3537,"Abilene, TX",320,42380,3189.0
